DBN,School Name,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
01M034,P.S. 034 Franklin D. Roosevelt,2015-16,394,18,33,41,30,27,36,33,64,62,50,0,0,0,0,200,50.8%,194,49.2%,18,4.6%,113,28.7%,249,63.2%,0,0.0%,14,3.6%,122,31.0%,29,7.4%,384,97.5%,86.1%
01M034,P.S. 034 Franklin D. Roosevelt,2016-17,350,13,21,24,37,31,29,36,38,59,62,0,0,0,0,170,48.6%,180,51.4%,19,5.4%,102,29.1%,216,61.7%,2,0.6%,11,3.1%,130,37.1%,27,7.7%,348,99.4%,86.8%
01M034,P.S. 034 Franklin D. Roosevelt,2017-18,333,13,25,18,22,47,35,36,38,41,58,0,0,0,0,150,45.0%,183,55.0%,11,3.3%,106,31.8%,204,61.3%,3,0.9%,9,2.7%,122,36.6%,25,7.5%,325,97.6%,93.9%
01M063,The STAR Academy - P.S.63,2013-14,179,18,40,33,26,23,20,19,0,0,0,0,0,0,0,93,52.0%,86,48.0%,13,7.3%,45,25.1%,101,56.4%,3,1.7%,17,9.5%,59,33.0%,8,4.5%,145,81.0%,
01M063,The STAR Academy - P.S.63,2014-15,199,25,35,34,38,25,21,21,0,0,0,0,0,0,0,98,49.2%,101,50.8%,14,7.0%,41,20.6%,124,62.3%,0,0.0%,20,10.1%,68,34.2%,7,3.5%,166,83.4%,68.8%
01M063,The STAR Academy - P.S.63,2015-16,203,15,47,42,35,28,19,17,0,0,0,0,0,0,0,100,49.3%,103,50.7%,9,4.4%,40,19.7%,131,64.5%,2,1.0%,21,10.3%,65,32.0%,6,3.0%,172,84.7%,69.3%
01M063,The STAR Academy - P.S.63,2016-17,200,22,38,37,28,28,26,21,0,0,0,0,0,0,0,97,48.5%,103,51.5%,8,4.0%,37,18.5%,129,64.5%,5,2.5%,21,10.5%,66,33.0%,5,2.5%,165,82.5%,67.9%
01M063,The STAR Academy - P.S.63,2017-18,203,26,40,29,36,22,23,27,0,0,0,0,0,0,0,100,49.3%,103,50.7%,6,3.0%,37,18.2%,128,63.1%,8,3.9%,24,11.8%,67,33.0%,2,1.0%,166,81.8%,75.9%
01M064,P.S. 064 Robert Simon,2013-14,287,33,39,40,46,48,38,43,0,0,0,0,0,0,0,124,43.2%,163,56.8%,17,5.9%,65,22.6%,173,60.3%,5,1.7%,27,9.4%,99,34.5%,19,6.6%,259,90.2%,
01M064,P.S. 064 Robert Simon,2014-15,282,33,35,39,44,43,46,42,0,0,0,0,0,0,0,120,42.6%,162,57.4%,20,7.1%,51,18.1%,185,65.6%,5,1.8%,21,7.4%,93,33.0%,18,6.4%,266,94.3%,83.3%
01M064,P.S. 064 Robert Simon,2015-16,258,20,36,39,37,35,43,48,0,0,0,0,0,0,0,105,40.7%,153,59.3%,19,7.4%,49,19.0%,169,65.5%,2,0.8%,19,7.4%,85,32.9%,15,5.8%,240,93.0%,82.4%
01M064,P.S. 064 Robert Simon,2016-17,247,21,46,34,37,33,32,44,0,0,0,0,0,0,0,104,42.1%,143,57.9%,13,5.3%,48,19.4%,167,67.6%,3,1.2%,16,6.5%,81,32.8%,10,4.0%,239,96.8%,83.0%
01M064,P.S. 064 Robert Simon,2017-18,245,35,27,44,37,30,36,36,0,0,0,0,0,0,0,101,41.2%,144,58.8%,11,4.5%,51,20.8%,167,68.2%,3,1.2%,13,5.3%,71,29.0%,5,2.0%,223,91.0%,87.6%
01M110,P.S. 110 Florence Nightingale,2013-14,416,36,63,85,56,74,56,46,0,0,0,0,0,0,0,201,48.3%,215,51.7%,57,13.7%,40,9.6%,183,44.0%,20,4.8%,116,27.9%,70,16.8%,20,4.8%,221,53.1%,
01M110,P.S. 110 Florence Nightingale,2014-15,419,35,54,68,80,54,72,56,0,0,0,0,0,0,0,203,48.4%,216,51.6%,54,12.9%,41,9.8%,186,44.4%,16,3.8%,122,29.1%,68,16.2%,9,2.1%,217,51.8%,47.3%
01M110,P.S. 110 Florence Nightingale,2015-16,394,29,47,50,60,88,54,66,0,0,0,0,0,0,0,188,47.7%,206,52.3%,63,16.0%,39,9.9%,170,43.1%,16,4.1%,106,26.9%,63,16.0%,5,1.3%,213,54.1%,48.8%
01M110,P.S. 110 Florence Nightingale,2016-17,383,32,62,54,50,59,76,50,0,0,0,0,0,0,0,179,46.7%,204,53.3%,70,18.3%,37,9.7%,161,42.0%,10,2.6%,105,27.4%,55,14.4%,20,5.2%,221,57.7%,49.7%
01M110,P.S. 110 Florence Nightingale,2017-18,379,30,64,52,55,48,57,73,0,0,0,0,0,0,0,166,43.8%,213,56.2%,64,16.9%,37,9.8%,168,44.3%,11,2.9%,99,26.1%,47,12.4%,14,3.7%,235,62.0%,57.5%
01M134,P.S. 134 Henrietta Szold,2013-14,318,33,41,38,53,46,49,58,0,0,0,0,0,0,0,152,47.8%,166,52.2%,84,26.4%,63,19.8%,162,50.9%,0,0.0%,9,2.8%,89,28.0%,47,14.8%,294,92.5%,
01M134,P.S. 134 Henrietta Szold,2014-15,255,15,28,41,38,49,41,43,0,0,0,0,0,0,0,118,46.3%,137,53.7%,65,25.5%,49,19.2%,133,52.2%,0,0.0%,8,3.1%,82,32.2%,33,12.9%,238,93.3%,81.6%
01M134,P.S. 134 Henrietta Szold,2015-16,263,15,39,33,47,40,51,38,0,0,0,0,0,0,0,125,47.5%,138,52.5%,56,21.3%,53,20.2%,145,55.1%,2,0.8%,7,2.7%,98,37.3%,31,11.8%,244,92.8%,81.4%
01M134,P.S. 134 Henrietta Szold,2016-17,354,22,29,58,51,61,59,74,0,0,0,0,0,0,0,171,48.3%,183,51.7%,55,15.5%,71,20.1%,213,60.2%,5,1.4%,10,2.8%,143,40.4%,33,9.3%,319,90.1%,83.5%
01M134,P.S. 134 Henrietta Szold,2017-18,297,20,36,27,47,52,57,58,0,0,0,0,0,0,0,131,44.1%,166,55.9%,33,11.1%,64,21.5%,182,61.3%,7,2.4%,11,3.7%,119,40.1%,26,8.8%,269,90.6%,89.0%
01M140,P.S. 140 Nathan Straus,2013-14,393,12,30,31,31,34,34,28,61,63,69,0,0,0,0,194,49.4%,199,50.6%,22,5.6%,50,12.7%,310,78.9%,1,0.3%,10,2.5%,137,34.9%,55,14.0%,314,79.9%,
01M140,P.S. 140 Nathan Straus,2014-15,380,18,26,29,27,35,32,34,53,65,61,0,0,0,0,198,52.1%,182,47.9%,21,5.5%,40,10.5%,302,79.5%,2,0.5%,15,3.9%,134,35.3%,65,17.1%,290,76.3%,84.8%
01M140,P.S. 140 Nathan Straus,2015-16,376,13,26,25,29,30,34,29,69,49,72,0,0,0,0,188,50.0%,188,50.0%,20,5.3%,47,12.5%,292,77.7%,4,1.1%,13,3.5%,132,35.1%,54,14.4%,296,78.7%,86.1%
01M140,P.S. 140 Nathan Straus,2016-17,382,18,31,28,25,28,32,34,64,66,56,0,0,0,0,182,47.6%,200,52.4%,18,4.7%,45,11.8%,304,79.6%,4,1.0%,11,2.9%,124,32.5%,45,11.8%,287,75.1%,84.3%
01M140,P.S. 140 Nathan Straus,2017-18,371,18,28,29,24,24,28,29,60,65,66,0,0,0,0,182,49.1%,189,50.9%,21,5.7%,46,12.4%,292,78.7%,2,0.5%,10,2.7%,115,31.0%,36,9.7%,324,87.3%,90.6%
01M142,P.S. 142 Amalia Castro,2013-14,384,31,69,48,61,53,63,59,0,0,0,0,0,0,0,174,45.3%,210,54.7%,24,6.3%,53,13.8%,285,74.2%,15,3.9%,7,1.8%,119,31.0%,32,8.3%,375,97.7%,
01M142,P.S. 142 Amalia Castro,2014-15,386,33,65,58,45,65,56,64,0,0,0,0,0,0,0,179,46.4%,207,53.6%,21,5.4%,55,14.2%,294,76.2%,10,2.6%,6,1.6%,117,30.3%,40,10.4%,372,96.4%,86.4%
01M142,P.S. 142 Amalia Castro,2015-16,354,22,56,56,52,42,67,59,0,0,0,0,0,0,0,160,45.2%,194,54.8%,23,6.5%,40,11.3%,277,78.2%,6,1.7%,8,2.3%,132,37.3%,30,8.5%,341,96.3%,86.9%
01M142,P.S. 142 Amalia Castro,2016-17,356,34,56,56,47,51,44,68,0,0,0,0,0,0,0,162,45.5%,194,54.5%,17,4.8%,42,11.8%,285,80.1%,8,2.2%,4,1.1%,121,34.0%,32,9.0%,349,98.0%,86.6%
01M142,P.S. 142 Amalia Castro,2017-18,340,32,68,56,49,44,50,41,0,0,0,0,0,0,0,152,44.7%,188,55.3%,8,2.4%,43,12.6%,281,82.6%,7,2.1%,1,0.3%,122,35.9%,27,7.9%,331,97.4%,90.4%
01M184,P.S. 184m Shuang Wen,2013-14,668,36,88,78,75,79,83,67,40,61,61,0,0,0,0,336,50.3%,332,49.7%,523,78.3%,20,3.0%,54,8.1%,16,2.4%,55,8.2%,76,11.4%,91,13.6%,474,71.0%,
01M184,P.S. 184m Shuang Wen,2014-15,665,36,76,79,76,73,75,79,69,42,60,0,0,0,0,338,50.8%,327,49.2%,499,75.0%,21,3.2%,58,8.7%,29,4.4%,58,8.7%,85,12.8%,116,17.4%,459,69.0%,53.8%
01M184,P.S. 184m Shuang Wen,2015-16,663,36,63,73,77,61,63,77,84,78,51,0,0,0,0,331,49.9%,332,50.1%,471,71.0%,24,3.6%,77,11.6%,34,5.1%,57,8.6%,121,18.3%,115,17.3%,468,70.6%,54.9%
01M184,P.S. 184m Shuang Wen,2016-17,672,36,71,59,68,65,56,63,89,86,79,0,0,0,0,330,49.1%,342,50.9%,468,69.6%,30,4.5%,81,12.1%,36,5.4%,57,8.5%,125,18.6%,109,16.2%,461,68.6%,54.0%
01M184,P.S. 184m Shuang Wen,2017-18,684,35,72,69,54,72,65,53,94,83,87,0,0,0,0,341,49.9%,343,50.1%,475,69.4%,25,3.7%,92,13.5%,42,6.1%,50,7.3%,113,16.5%,103,15.1%,462,67.5%,64.0%
01M188,P.S. 188 The Island School,2013-14,501,32,48,41,47,49,51,45,49,73,66,0,0,0,0,232,46.3%,269,53.7%,12,2.4%,140,27.9%,327,65.3%,1,0.2%,21,4.2%,141,28.1%,76,15.2%,437,87.2%,
01M188,P.S. 188 The Island School,2014-15,482,33,38,47,46,41,53,51,51,54,68,0,0,0,0,229,47.5%,253,52.5%,9,1.9%,151,31.3%,297,61.6%,1,0.2%,24,5.0%,131,27.2%,71,14.7%,412,85.5%,90.7%
01M188,P.S. 188 The Island School,2015-16,489,31,47,48,50,43,43,54,52,60,61,0,0,0,0,216,44.2%,273,55.8%,9,1.8%,145,29.7%,312,63.8%,2,0.4%,21,4.3%,146,29.9%,77,15.7%,424,86.7%,92.4%
01M188,P.S. 188 The Island School,2016-17,445,29,35,41,47,48,49,34,52,52,58,0,0,0,0,195,43.8%,250,56.2%,10,2.2%,141,31.7%,278,62.5%,1,0.2%,15,3.4%,138,31.0%,64,14.4%,382,85.8%,92.9%
01M188,P.S. 188 The Island School,2017-18,433,19,37,40,43,43,47,42,47,55,60,0,0,0,0,185,42.7%,248,57.3%,8,1.8%,127,29.3%,286,66.1%,0,0.0%,12,2.8%,126,29.1%,69,15.9%,396,91.5%,95.3%
01M292,Orchard Collegiate Academy,2013-14,323,0,0,0,0,0,0,0,13,19,33,59,68,68,63,129,39.9%,194,60.1%,44,13.6%,84,26.0%,172,53.3%,13,4.0%,10,3.1%,107,33.1%,64,19.8%,271,83.9%,
01M292,Orchard Collegiate Academy,2014-15,255,0,0,0,0,0,0,0,17,14,19,59,52,36,58,96,37.6%,159,62.4%,32,12.5%,66,25.9%,142,55.7%,6,2.4%,9,3.5%,83,32.5%,30,11.8%,227,89.0%,83.9%
01M292,Orchard Collegiate Academy,2015-16,185,0,0,0,0,0,0,0,0,14,11,42,49,37,32,68,36.8%,117,63.2%,22,11.9%,49,26.5%,106,57.3%,2,1.1%,6,3.2%,64,34.6%,26,14.1%,163,88.1%,86.7%
01M292,Orchard Collegiate Academy,2016-17,140,0,0,0,0,0,0,0,0,0,0,40,35,31,34,53,37.9%,87,62.1%,21,15.0%,34,24.3%,77,55.0%,1,0.7%,7,5.0%,38,27.1%,20,14.3%,128,91.4%,84.4%
01M292,Orchard Collegiate Academy,2017-18,171,0,0,0,0,0,0,0,0,0,0,72,40,30,29,81,47.4%,90,52.6%,19,11.1%,43,25.1%,97,56.7%,4,2.3%,8,4.7%,42,24.6%,23,13.5%,156,91.2%,89.1%
01M301,"Technology, Arts, and Sciences Studio",2013-14,158,0,0,0,0,0,0,0,46,51,61,0,0,0,0,63,39.9%,95,60.1%,16,10.1%,39,24.7%,94,59.5%,4,2.5%,5,3.2%,57,36.1%,9,5.7%,144,91.1%,
01M301,"Technology, Arts, and Sciences Studio",2014-15,149,0,0,0,0,0,0,0,50,45,54,0,0,0,0,67,45.0%,82,55.0%,12,8.1%,40,26.8%,87,58.4%,5,3.4%,5,3.4%,60,40.3%,10,6.7%,129,86.6%,78.3%
01M301,"Technology, Arts, and Sciences Studio",2015-16,156,0,0,0,0,0,0,0,46,54,56,0,0,0,0,76,48.7%,80,51.3%,12,7.7%,45,28.8%,86,55.1%,6,3.8%,7,4.5%,60,38.5%,10,6.4%,127,81.4%,77.6%
01M301,"Technology, Arts, and Sciences Studio",2016-17,127,0,0,0,0,0,0,0,27,44,56,0,0,0,0,60,47.2%,67,52.8%,11,8.7%,41,32.3%,65,51.2%,4,3.1%,6,4.7%,56,44.1%,6,4.7%,98,77.2%,73.7%
01M301,"Technology, Arts, and Sciences Studio",2017-18,106,0,0,0,0,0,0,0,32,23,51,0,0,0,0,48,45.3%,58,54.7%,4,3.8%,34,32.1%,58,54.7%,4,3.8%,6,5.7%,45,42.5%,3,2.8%,87,82.1%,83.4%
01M315,The East Village Community School,2013-14,276,36,45,47,41,38,46,23,0,0,0,0,0,0,0,119,43.1%,157,56.9%,22,8.0%,33,12.0%,67,24.3%,18,6.5%,136,49.3%,79,28.6%,2,0.7%,89,32.2%,
01M315,The East Village Community School,2014-15,289,36,45,48,45,44,28,43,0,0,0,0,0,0,0,131,45.3%,158,54.7%,29,10.0%,32,11.1%,64,22.1%,17,5.9%,147,50.9%,71,24.6%,4,1.4%,83,28.7%,34.8%
01M315,The East Village Community School,2015-16,299,36,49,50,47,45,45,27,0,0,0,0,0,0,0,144,48.2%,155,51.8%,28,9.4%,26,8.7%,62,20.7%,19,6.4%,164,54.8%,59,19.7%,2,0.7%,66,22.1%,30.0%
01M315,The East Village Community School,2016-17,315,36,48,49,49,44,47,42,0,0,0,0,0,0,0,155,49.2%,160,50.8%,32,10.2%,17,5.4%,61,19.4%,21,6.7%,184,58.4%,59,18.7%,4,1.3%,71,22.5%,27.9%
01M315,The East Village Community School,2017-18,318,36,46,50,50,48,40,48,0,0,0,0,0,0,0,161,50.6%,157,49.4%,32,10.1%,17,5.3%,64,20.1%,22,6.9%,183,57.5%,55,17.3%,4,1.3%,80,25.2%,35.1%
01M332,University Neighborhood Middle School,2013-14,100,0,0,0,0,0,0,0,22,33,45,0,0,0,0,46,46.0%,54,54.0%,5,5.0%,17,17.0%,75,75.0%,3,3.0%,0,0.0%,28,28.0%,24,24.0%,94,94.0%,
01M332,University Neighborhood Middle School,2014-15,86,0,0,0,0,0,0,0,31,24,31,0,0,0,0,40,46.5%,46,53.5%,4,4.7%,18,20.9%,57,66.3%,3,3.5%,4,4.7%,35,40.7%,11,12.8%,75,87.2%,76.4%
01M332,University Neighborhood Middle School,2015-16,110,0,0,0,0,0,0,0,39,35,36,0,0,0,0,49,44.5%,61,55.5%,6,5.5%,30,27.3%,69,62.7%,1,0.9%,4,3.6%,43,39.1%,16,14.5%,96,87.3%,73.1%
01M332,University Neighborhood Middle School,2016-17,234,0,0,0,0,0,0,0,67,77,90,0,0,0,0,102,43.6%,132,56.4%,22,9.4%,67,28.6%,133,56.8%,1,0.4%,11,4.7%,109,46.6%,23,9.8%,205,87.6%,79.7%
01M332,University Neighborhood Middle School,2017-18,203,0,0,0,0,0,0,0,69,65,69,0,0,0,0,88,43.3%,115,56.7%,18,8.9%,47,23.2%,128,63.1%,2,1.0%,8,3.9%,90,44.3%,11,5.4%,178,87.7%,84.4%
01M361,The Children's Workshop School,2013-14,258,36,40,33,29,38,36,46,0,0,0,0,0,0,0,136,52.7%,122,47.3%,37,14.3%,31,12.0%,84,32.6%,4,1.6%,102,39.5%,66,25.6%,11,4.3%,124,48.1%,
01M361,The Children's Workshop School,2014-15,255,34,44,40,34,27,41,35,0,0,0,0,0,0,0,130,51.0%,125,49.0%,29,11.4%,29,11.4%,92,36.1%,4,1.6%,101,39.6%,61,23.9%,13,5.1%,119,46.7%,43.0%
01M361,The Children's Workshop School,2015-16,267,33,47,46,39,33,26,43,0,0,0,0,0,0,0,129,48.3%,138,51.7%,27,10.1%,28,10.5%,104,39.0%,6,2.2%,102,38.2%,65,24.3%,18,6.7%,128,47.9%,44.3%
01M361,The Children's Workshop School,2016-17,295,35,59,55,48,35,35,28,0,0,0,0,0,0,0,140,47.5%,155,52.5%,30,10.2%,29,9.8%,114,38.6%,14,4.7%,108,36.6%,67,22.7%,12,4.1%,142,48.1%,46.9%
01M361,The Children's Workshop School,2017-18,315,36,57,61,48,46,35,32,0,0,0,0,0,0,0,146,46.3%,169,53.7%,31,9.8%,29,9.2%,124,39.4%,20,6.3%,111,35.2%,67,21.3%,9,2.9%,142,45.1%,49.0%
01M363,Neighborhood School,2013-14,300,18,38,44,39,51,57,53,0,0,0,0,0,0,0,142,47.3%,158,52.7%,29,9.7%,43,14.3%,92,30.7%,6,2.0%,130,43.3%,84,28.0%,10,3.3%,134,44.7%,
01M363,Neighborhood School,2014-15,302,16,63,39,42,37,53,52,0,0,0,0,0,0,0,144,47.7%,158,52.3%,22,7.3%,45,14.9%,87,28.8%,4,1.3%,144,47.7%,78,25.8%,13,4.3%,121,40.1%,41.5%
01M363,Neighborhood School,2015-16,313,16,58,62,38,44,39,56,0,0,0,0,0,0,0,143,45.7%,170,54.3%,17,5.4%,40,12.8%,107,34.2%,8,2.6%,141,45.0%,77,24.6%,11,3.5%,122,39.0%,40.0%
01M363,Neighborhood School,2016-17,304,18,58,51,56,44,43,34,0,0,0,0,0,0,0,148,48.7%,156,51.3%,15,4.9%,33,10.9%,105,34.5%,9,3.0%,142,46.7%,69,22.7%,10,3.3%,121,39.8%,40.5%
01M363,Neighborhood School,2017-18,304,18,56,50,49,51,43,37,0,0,0,0,0,0,0,149,49.0%,155,51.0%,19,6.3%,28,9.2%,106,34.9%,11,3.6%,140,46.1%,64,21.1%,11,3.6%,133,43.8%,48.0%
01M364,Earth School,2013-14,318,18,54,50,46,51,50,49,0,0,0,0,0,0,0,157,49.4%,161,50.6%,32,10.1%,36,11.3%,101,31.8%,26,8.2%,123,38.7%,62,19.5%,12,3.8%,132,41.5%,
01M364,Earth School,2014-15,321,18,56,51,48,44,55,49,0,0,0,0,0,0,0,160,49.8%,161,50.2%,24,7.5%,45,14.0%,109,34.0%,21,6.5%,122,38.0%,74,23.1%,15,4.7%,139,43.3%,41.2%
01M364,Earth School,2015-16,340,36,50,53,48,49,48,56,0,0,0,0,0,0,0,163,47.9%,177,52.1%,25,7.4%,43,12.6%,120,35.3%,25,7.4%,127,37.4%,85,25.0%,19,5.6%,157,46.2%,43.2%
01M364,Earth School,2016-17,331,36,48,48,56,48,49,46,0,0,0,0,0,0,0,163,49.2%,168,50.8%,20,6.0%,43,13.0%,113,34.1%,28,8.5%,127,38.4%,85,25.7%,17,5.1%,164,49.5%,45.2%
01M364,Earth School,2017-18,355,35,62,53,47,55,51,52,0,0,0,0,0,0,0,161,45.4%,194,54.6%,24,6.8%,40,11.3%,139,39.2%,31,8.7%,121,34.1%,91,25.6%,21,5.9%,188,53.0%,53.7%
01M378,School for Global Leaders,2013-14,244,0,0,0,0,0,0,0,79,72,93,0,0,0,0,112,45.9%,132,54.1%,32,13.1%,51,20.9%,152,62.3%,5,2.0%,4,1.6%,68,27.9%,39,16.0%,174,71.3%,
01M378,School for Global Leaders,2014-15,235,0,0,0,0,0,0,0,81,76,78,0,0,0,0,105,44.7%,130,55.3%,38,16.2%,54,23.0%,132,56.2%,5,2.1%,6,2.6%,77,32.8%,32,13.6%,170,72.3%,76.8%
01M378,School for Global Leaders,2015-16,264,0,0,0,0,0,0,0,100,84,80,0,0,0,0,117,44.3%,147,55.7%,40,15.2%,59,22.3%,154,58.3%,6,2.3%,5,1.9%,88,33.3%,20,7.6%,183,69.3%,76.8%
01M378,School for Global Leaders,2016-17,283,0,0,0,0,0,0,0,101,97,85,0,0,0,0,126,44.5%,157,55.5%,41,14.5%,77,27.2%,156,55.1%,4,1.4%,5,1.8%,103,36.4%,29,10.2%,195,68.9%,75.3%
01M378,School for Global Leaders,2017-18,256,0,0,0,0,0,0,0,70,90,96,0,0,0,0,111,43.4%,145,56.6%,35,13.7%,70,27.3%,145,56.6%,2,0.8%,4,1.6%,98,38.3%,23,9.0%,205,80.1%,83.9%
01M448,University Neighborhood High School,2013-14,299,0,0,0,0,0,0,0,0,0,0,90,80,60,69,114,38.1%,185,61.9%,98,32.8%,75,25.1%,116,38.8%,2,0.7%,8,2.7%,78,26.1%,84,28.1%,272,91.0%,
01M448,University Neighborhood High School,2014-15,304,0,0,0,0,0,0,0,0,0,0,102,100,51,51,115,37.8%,189,62.2%,92,30.3%,74,24.3%,125,41.1%,2,0.7%,11,3.6%,67,22.0%,59,19.4%,272,89.5%,82.0%
01M448,University Neighborhood High School,2015-16,343,0,0,0,0,0,0,0,0,0,0,120,105,69,49,148,43.1%,195,56.9%,96,28.0%,93,27.1%,142,41.4%,2,0.6%,10,2.9%,68,19.8%,47,13.7%,303,88.3%,76.4%
01M448,University Neighborhood High School,2016-17,392,0,0,0,0,0,0,0,0,0,0,136,111,78,67,176,44.9%,216,55.1%,119,30.4%,94,24.0%,166,42.3%,2,0.5%,11,2.8%,58,14.8%,35,8.9%,351,89.5%,75.4%
01M448,University Neighborhood High School,2017-18,465,0,0,0,0,0,0,0,0,0,0,160,130,94,81,198,42.6%,267,57.4%,141,30.3%,100,21.5%,206,44.3%,3,0.6%,15,3.2%,79,17.0%,46,9.9%,406,87.3%,81.8%
01M450,East Side Community School,2013-14,649,0,0,0,0,0,0,0,90,89,82,101,100,91,96,320,49.3%,329,50.7%,64,9.9%,146,22.5%,370,57.0%,8,1.2%,61,9.4%,188,29.0%,12,1.8%,486,74.9%,
